plantbarcode,fresh_wt,sat_wt,dry_wt,cartag
Dr88AB001677,10.86,13.22,2.25,1929
Dr85AA001656,36.06,41.93,8.33,1930
Dr85AB001659,15.28,17.06,3.27,1937
Dr80AB001629,10.76,12.2,1.44,1948
Dr80AA001626,27.64,31.86,3.78,1950
Dr78AA001615,40.27,45.91,6.72,1959
Dr78AB001617,12.9,16.38,1.76,1960
Dp1AA002293,26.99,33.55,5.69,1962
Dr96AA001723,31.7,40.23,5.4,1974
Dr96AB001727,14.78,17.94,2.58,1975
Dr95AA001718,30.39,37.33,4.56,1976
Dr183AA002244,24.98,31.01,4.41,1977
Dr183AB002248,10.07,12.7,1.46,1986
Dr188AA002274,38.74,47.57,6.87,1987
Dr188AB002278,13.57,15.88,2.27,1991
Dr185AA002256,24.75,28.81,4.62,1994
Dr185AB002260,8.92,10.44,1.46,1995
Dr125AA001896,27.77,34.76,3.99,2004
Dr125AB001900,12.88,15.16,2.16,2012
Dr113AA001825,33.6,36.02,5.47,2014
Dr74AB001596,6.65,8.24,0.96,2023
Dp2AB002338,11.63,13.48,1.58,2039
Dp2AA002334,27.18,30.27,3.77,2041
Dr173AB002188,4.92,5.88,0.71,2043
Dr173AA002185,17.33,20.01,1.8,2045
Dr113AB001829,13.17,14.83,2.31,2050
Dr171AB002176,8.27,11.65,1.25,2054
Dr171AA002173,20.44,23.62,3.05,2056
Dr129AA001921,23.29,27.79,3.71,2061
Dr129AB001924,10.54,11.89,1.79,2062
Dr182AA002239,16.3,19.58,2.39,2063
Dr74AA001592,21.91,27.97,2.74,2069
Dr182AB002242,4.69,8.24,0.49,2069
Dr189AA002281,26.92,30.58,5.34,2071
Dr189AB002284,10.8,13,1.74,2077
Dr186AB002266,9.56,11.14,1.43,2078
Dr186AA002263,29.46,36.73,5.45,2083
Dr127AA001908,30,36.53,4.33,2097
Dr127AB001912,9.11,11.83,1.19,2101
Dr112AA001818,25.6,31.61,4.17,2119
Dr112AB001821,11.82,14.76,2.14,2127
